baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PF3D7_1209800	25.5445822569914	-2.35134412701903	0.643428336939425	-3.65439939776914	0.000257784715589679	0.00191316695785673
PF3D7_0109300	40.6856480154184	-2.32074848996424	0.537192225300836	-4.32014534213445	1.55926468561839e-05	0.000164701865164622
PF3D7_0526400	38.9928672773926	-2.30181322539421	0.534852027922957	-4.30364494331837	1.68010843283855e-05	0.000174623627046972
PF3D7_1117000	46.1976292516807	-2.24594955788497	0.534656976794655	-4.20072991724481	2.66055826768082e-05	0.00026676061041515
PF3D7_1001300	48.4458765426834	-2.21947324957476	0.476892352337926	-4.6540340575687	3.25503002703584e-06	4.05050585830048e-05
PF3D7_1027600	22.1915640932701	-2.20709201403136	0.696990145263316	-3.16660433297452	0.00154230009179767	0.00849402781341346
mal_mito_2	62.5999735235219	-2.12773787074173	0.46161410010001	-4.60934332439315	4.03942807098867e-06	4.87954316447621e-05
PF3D7_0622700	25.453537490748	-2.07220614748717	0.626479234375835	-3.3077012513459	0.000940650973579923	0.00572712697319036
PF3D7_1113300	424.967940267358	-2.06894577163774	0.288058336657812	-7.18238463653793	6.85058617988256e-13	3.20776932258006e-11
PF3D7_0211600	30.1291339762517	-2.0473866611258	0.623187583881379	-3.28534571946079	0.00101857307585783	0.00612762769608778
PF3D7_1215600	39.9487554553746	-2.04584690884619	0.520635719189762	-3.92951699900659	8.51166596241906e-05	0.000729433713232215
PF3D7_1213200	44.5094523107245	-2.01103951012664	0.512093573062082	-3.92709382799234	8.59784465412586e-05	0.000734653694601917
PF3D7_0212800	82.4194391836019	-1.9815535639863	0.419516749513527	-4.72341942552738	2.31911866494819e-06	2.96716534540695e-05
PF3D7_0219300	82.277325872452	-1.9809228190929	0.382897882868134	-5.17350162464887	2.29747124192774e-07	3.68731956919993e-06
PF3D7_1010000	79.3584704535639	-1.96417183657086	0.383340238928237	-5.12383422638437	2.99384224623463e-07	4.68897637324058e-06
PF3D7_1431900	39.4869730700039	-1.95030995355869	0.551041544067794	-3.53931563700531	0.000401165876067286	0.00277758446508783
PF3D7_1001200	884.891544578297	-1.94122578066033	0.22502488187004	-8.62671614146854	6.31386207100386e-18	5.62305127970579e-16
PF3D7_1029600	6079.51799931831	-1.91780999552251	0.181039753146524	-10.5933087191647	3.20074247619212e-26	7.2688861634323e-24
PF3D7_1005800	40.6196674008186	-1.90562277757378	0.575883672601866	-3.30904116271278	0.000936160724762063	0.00570743894210643
PF3D7_1435900	32.8969456908151	-1.8768661359986	0.554880842916494	-3.38246699261351	0.000718379102011095	0.00455073623617071
PF3D7_0526100	33.0030326909006	-1.8699991674383	0.551534946318901	-3.39053613904106	0.000697560568911385	0.00446777426287717
PF3D7_1470000	33.3832464655161	-1.85002299342731	0.56042836967114	-3.30108733523413	0.000963108978417024	0.00584037514014703
mal_mito_3	101.650532177357	-1.84550022643985	0.450333418962793	-4.09807522322106	4.16599905587011e-05	0.00039175916587499
PF3D7_1030900	51.1759615348956	-1.83990331866322	0.510895562787866	-3.60132961152215	0.000316593885213237	0.00228976023350083
PF3D7_0513300	5298.53798868762	-1.83210737902163	0.177026659313545	-10.3493303558119	4.21423015439663e-25	7.65641334450779e-23
PF3D7_1229700	41.7257336460889	-1.81906333006391	0.508551531049188	-3.57694986447297	0.000347626814660915	0.00247479779340106
PF3D7_0934200	32.7588611407125	-1.79027489668557	0.550527359270107	-3.25192720496058	0.00114625374799115	0.00665765284319155
PF3D7_1361000	51.7890029527518	-1.77383805559405	0.449754938394879	-3.94401018013202	8.01302541551757e-05	0.000694564149566427
PF3D7_0413800	38.4771872351784	-1.75481000157968	0.509568598645854	-3.44371691317513	0.000573776126806432	0.00376602769935667
PF3D7_0502100	40.8136094265427	-1.75350884622291	0.497385728778541	-3.52545066085651	0.000422762920263915	0.00290042064767233
PF3D7_1314600	40.1553935717071	-1.75309476300727	0.517022121070694	-3.39075387988585	0.000697006642012118	0.00446777426287717
PF3D7_0411100	41.2408735444467	-1.73636217562316	0.493805855169889	-3.51628510971338	0.000437630760388929	0.00297562711629718
PF3D7_0321500	326.565442665063	-1.71008635593888	0.241155793542153	-7.0912099221036	1.3294450082231e-12	6.03833922734932e-11
PF3D7_1113200	75.4155187827732	-1.706222925781	0.414548202703493	-4.11586135135503	3.85736143956885e-05	0.000367298441478443
PF3D7_0611700	490.914555642374	-1.68176385138429	0.248326538424469	-6.7723887348263	1.26673219360692e-11	4.63991743819567e-10
PF3D7_1315800	114.164954481593	-1.66536194939277	0.359194212500319	-4.63638302466049	3.54558692819794e-06	4.32904726555781e-05
PF3D7_0419700	42.6773218445598	-1.65858135965545	0.499151138424121	-3.32280392045542	0.000891175329439074	0.00548471320638519
PF3D7_1365200	91.0438315400208	-1.65116714669756	0.355627638344487	-4.64296631832119	3.43442355830208e-06	4.21598697346163e-05
PF3D7_1011500	67.7175574068549	-1.64652731613459	0.449254969565994	-3.66501747932857	0.000247321691013167	0.00184455684824598
PF3D7_0302500	221.070367385318	-1.64202795837166	0.289248096347404	-5.67688423573751	1.37170233538192e-08	2.75675752535605e-07
PF3D7_1030300	72.3836103663316	-1.63676633528993	0.391269061594806	-4.18322452743515	2.87403290073039e-05	0.000283163935685844
PF3D7_0628000	59.9290855467708	-1.63633579232436	0.428410282607085	-3.81955302838779	0.000133693716434702	0.00107666109937308
PF3D7_0806200	63.5538601297735	-1.63280576341895	0.414807154818459	-3.93630086764909	8.27472214609114e-05	0.00071288952372941
PF3D7_1446200	1603.22066200269	-1.62795943156177	0.211660800861857	-7.69136006730068	1.45579096336207e-14	8.26525319448816e-13
PF3D7_0416700	142.655964294787	-1.5961529844372	0.346439736661181	-4.60730342258124	4.07924540048404e-06	4.91457098381924e-05
PF3D7_1315000	53.3014839797816	-1.59366939041049	0.457609145865702	-3.48259951709575	0.00049657061603326	0.00331924941434957
PF3D7_1460400	197.930338384449	-1.59086040597935	0.305298258574032	-5.2108400926027	1.87987431802703e-07	3.08245095757356e-06
PF3D7_0110900	42.9217972123064	-1.5607977008933	0.489926223719549	-3.1857810938219	0.00144363785435342	0.00809506559811511
PF3D7_1030500	201.060007717533	-1.55605258644615	0.290953461241562	-5.34811505526049	8.88749637455663e-08	1.55257725127832e-06
PF3D7_1347200	6224.28771678846	-1.55324737669204	0.220163013375978	-7.05498781504921	1.72615848285177e-12	7.68648218540466e-11
PF3D7_0217800	918.952039589207	-1.549764731413	0.211250982324354	-7.33613029563809	2.1985799128176e-13	1.09735713890303e-11
PF3D7_0302200	244.415917282104	-1.54856852075482	0.257322459880944	-6.01800760598704	1.76576899179335e-09	4.31189395737924e-08
PF3D7_0816700	65.888471380788	-1.54643160109034	0.428802780414913	-3.60639359566186	0.00031048208686117	0.00225109138464475
PF3D7_1004600	118.828170174282	-1.54295719671621	0.389481407309825	-3.96156830020082	7.4459075853706e-05	0.000650371389476025
PF3D7_0217700	68.3703445815291	-1.52957727990257	0.395628493948215	-3.86619594720795	0.000110546131546157	0.000909602408483052
PF3D7_0203300	68.3137214385045	-1.51970963833632	0.417780488159852	-3.63757925850008	0.000275212516407744	0.00203585545525077
PF3D7_1309100	1401.32503274612	-1.51176451321879	0.194101800075057	-7.78851361828799	6.78020652052581e-15	4.16158081300382e-13
PF3D7_1022300	50.9337845749297	-1.49383747998982	0.458451533532399	-3.25844145068008	0.00112025990199423	0.00658665222451264
PF3D7_1139700	56.0431946568345	-1.49301469482123	0.428443939010898	-3.48473757912876	0.000492619916747765	0.00330011749538105
PF3D7_1022700	69.3197612109824	-1.48756082382895	0.422610894873042	-3.5199301340204	0.000431660487483897	0.00294384674797576
PF3D7_1431700	1279.87900715624	-1.48620092515308	0.207356225374034	-7.16738030156668	7.64464556814976e-13	3.54305920107512e-11
